review_id,customer_id,restaurant_id,rating,review_text,created_at
1,27,69,2,"Sit, migrare de vita. His rebus instructus semper est in voluptate. Neque enim disputari sine reprehensione nec cum istis tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne simulent, et iis quidem non admodum flagitem. Re mihi non aeque satisfacit, et quidem tibi et declinationem istam atomorum et magnitudinem solis probabo et Democriti errata.",2024-01-29 12:51:07
2,53,100,2,"Illa, quae quasi titillaret sensus, ut ita ruant itaque turbent, ut earum motus et impetus quo pertineant non intellegamus, tu tam egregios viros censes tantas res gessisse sine causa? Quae fuerit causa, mox videro; interea hoc tenebo, si ob aliquam causam ista, quae sine dubio praeclara sunt, fecerint.",2024-01-29 12:55:30
3,21,59,0,"Efficiendi reliquerunt. Sed hoc commune vitium, illae Epicuri propriae ruinae: censet enim eadem illa individua et solida corpora ferri deorsum suo pondere ad lineam.",2024-01-29 13:04:27
4,27,51,4,"A nobis philosophia defensa et collaudata est, cum esset accusata et vituperata ab Hortensio. Qui liber cum et mortem contemnit, qua qui est imbutus quietus esse numquam potest. Praeterea bona praeterita grata recordatione renovata delectant. Est.",2024-01-29 13:10:42
5,17,90,0,"Ante dictum est, sic amicitiam negant posse a voluptate aut a voluptate aut in armatum hostem impetum fecisse aut in dolore. Omnis autem privatione.",2024-01-29 13:12:56
6,8,62,4,"Astris contereret, quae et splendide dicta sint neque sint conversa de Graecis? Nam si concederetur, etiamsi.",2024-01-29 13:18:38
7,26,6,3,"Magis ut illum provocarem quam ut ipse loquerer, tum Triarius leniter arridens: Tu quidem, inquit, totum Epicurum paene e philosophorum choro sustulisti. Quid ei.",2024-01-29 13:28:11
8,43,48,1,"Epicureis. Sed ad haec, nisi molestum est, habeo quae velim. An me, inquam, nisi te audire vellem, censes haec dicturum fuisse? Utrum igitur percurri.",2024-01-29 13:30:51
9,25,56,0,"Epicuri non probo, inquam. De cetero vellem equidem aut ipse doctrinis fuisset instructior -- est enim, quae in rebus aut expetendis aut fugiendis ut.",2024-01-29 13:33:14
10,83,62,1,"Aut Aristotelem, ut verterunt nostri poetae fabulas, male, credo, mererer de meis civibus, si ad eorum cognitionem divina illa ingenia transferrem. Sed id neque.",2024-01-29 13:36:39
11,27,25,4,"Non legat? Nisi qui se plane Graecum dici velit, ut a Scaevola est praetore.",2024-01-29 13:42:56
12,21,70,3,"Eo, quod semel admissum coerceri reprimique non potest, ut non dicas, quid.",2024-01-29 13:49:14
13,23,93,3,"Fortitudinem copulatas esse docui cum voluptate, ut ab ea nullo modo nec divelli nec distrahi possint.",2024-01-29 13:54:38
14,75,95,1,"In iis rebus emolumenti, quae pariuntur iniuria. Itaque ne iustitiam quidem recte quis dixerit per.",2024-01-29 13:57:15
15,68,25,0,"Aut maiorem aut minorem. Ita, quae mutat, ea corrumpit, quae sequitur sunt tota Democriti, atomi, inane, imagines, quae.",2024-01-29 13:59:37
16,10,21,0,Autem tanta ex improbis factis ad minuendas vitae molestias accessio potest fieri.,2024-01-29 14:04:22
