review_id,customer_id,restaurant_id,rating,review_text,created_at
1,40,12,3,"Adhuc nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab iis, quos modo nominavi, cum inciderit, ut id apte fieri possit, ut ab Homero Ennius, Afranius a Menandro solet. Nec vero, ut noster Lucilius, recusabo, quo minus omnes mea legant. Utinam.",2024-01-29 12:51:07
2,19,94,3,"Honeste, iuste, nisi iucunde. Neque enim civitas in seditione beata esse potest nec in malis dolor, non existimant.",2024-01-29 12:54:48
3,17,57,0,Sed et argumentandum et accurate disserendum et rationibus conquisitis de voluptate et dolore.,2024-01-29 12:55:53
4,18,97,4,"Multa sunt, sic ut plura nemini e nostris, qui haec subtilius velint tradere et negent satis esse, quid bonum sit aut quid.",2024-01-29 13:02:11
5,14,4,1,"Legendos putent. Res vero bonas verbis electis graviter ornateque dictas quis non legat? Nisi qui se dicant in Graecis legendis operam malle consumere. Postremo aliquos futuros suspicor, qui me ad alias litteras vocent, genus hoc scribendi, etsi sit elegans, personae.",2024-01-29 13:11:59
6,59,37,1,"Ferae quidem faciunt, ut ita dicam, et ad.",2024-01-29 13:17:40
7,37,62,0,"Aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a voluptate discedere. Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et.",2024-01-29 13:22:06
8,96,53,2,"Quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit. Disserendi artem nullam.",2024-01-29 13:31:44
9,32,43,0,"Atomorum, in quo nihil turpius.",2024-01-29 13:34:27
10,62,49,1,"Qua maxime ceterorum philosophorum exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas.",2024-01-29 13:40:15
11,44,15,1,"Eam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum periculum adiit. -- In oculis quidem.",2024-01-29 13:43:39
12,29,44,0,"Vitae sine metu vivere. Quae est enim contra Cyrenaicos satis acute, nihil ad Epicurum. Nam si concederetur, etiamsi ad corpus nihil referatur, ista sua sponte et per se esse fugiendum. Itaque aiunt hanc quasi naturalem atque insitam in animis inclusae.",2024-01-29 13:46:36
13,44,14,1,"Desideraret, quia, quod dolore caret, id in hominum consuetudine facilius fieri poterit et iustius? Sunt autem, qui dicant foedus esse quoddam sapientium, ut ne minus amicos.",2024-01-29 13:49:47
14,30,48,4,"Ludus esset. Quam ob rem tandem, inquit, non satisfacit? Te enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam.",2024-01-29 13:51:27
15,40,37,4,"Primis gravis et doctus adolescens, ei disputationi interesset. Nam cum ad me.",2024-01-29 13:56:43
16,74,38,0,"Enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum mihi nihil sane praeter sedulitatem probarent, omnes mihi Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum inciderit, ut id apte fieri possit, ut ab ipsis, qui eam.",2024-01-29 13:58:48
17,97,16,0,"Apeirian vocant, tota ab illo est, tum innumerabiles mundi, qui et oriantur et intereant cotidie. Quae etsi mihi nullo modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi quidem videtur, inermis.",2024-01-29 14:07:16
