method_id,user_id,method_type,method_details,is_default,created_at,updated_at
1,64,CARD,"Esse tractatas, ne ipsos quidem Graecos est cur tam multos legant, quam legendi sunt. Quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret? Cum praesertim illa perdiscere ludus esset. Quam ob.",0,2024-01-27 09:58:57,2024-01-29 05:37:28
5,64,BANK_TRANSFER,"Omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu.",0,2024-01-27 10:21:50,2024-01-29 23:30:20
6,14,UPI,"Quam fieri quicquam sine causa eripuit atomis nec tamen id, cuius causa haec finxerat, assecutus est. Nam si omnes atomi declinabunt, nullae umquam cohaerescent, sive aliae declinabunt, aliae suo nutu recte ferentur, primum erit hoc quasi.",0,2024-01-27 10:31:17,2024-01-28 20:36:41
8,62,WALLET,"Misisti. Sed ex eo credo quibusdam usu venire; ut abhorreant a Latinis, quod inciderint in inculta quaedam et quasi involuta aperiri, altera prompta et aperta iudicari. Etenim quoniam detractis de homine sensibus reliqui nihil est, necesse est, quid aut ad.",0,2024-01-27 10:46:42,2024-01-30 03:40:15
12,80,WALLET,"Aetatis percipi posse, quam ex hoc percipiatur.",0,2024-01-27 11:10:10,2024-02-03 06:37:28
15,23,BANK_TRANSFER,"Minus, animo aequo e vita, cum ea non placeat, tamquam e theatro exeamus. Quibus rebus intellegitur nec intemperantiam propter se ipsos amentur.",0,2024-01-27 11:34:16,2024-02-02 04:06:13
16,48,BANK_TRANSFER,Fastidium. Non est omnino hic docendi locus; sed ita sentio et saepe.,0,2024-01-27 11:39:38,2024-01-27 19:48:32
17,18,BANK_TRANSFER,"Nostrud exercitation ullamco laboris nisi ut aliquid ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate est. Extremum autem esse bonorum voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici.",0,2024-01-27 11:45:54,2024-02-05 19:11:12
19,27,WALLET,"Inferiorem locum petentium sine causa dicere, -- et.",0,2024-01-27 12:02:40,2024-02-03 13:21:35
20,17,UPI,"Non posse reperiri. Quapropter si ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi tamen, ne faciam, interdictum puto. Locos quidem quosdam, si videbitur, transferam, et maxime ab.",0,2024-01-27 12:05:13,2024-02-04 20:19:20
22,93,CARD,"Nati, et ad usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae de philosophia litteris mandamus, legere assueverit, iudicabit nulla ad legendum his esse potiora. Quid est enim aut utilior aut ad naturam aut contra.",0,2024-01-27 12:14:02,2024-01-29 00:35:49
23,16,BANK_TRANSFER,"Et quaerendi defatigatio turpis est, cum id, quod his libris quaeritur, qui.",0,2024-01-27 12:23:06,2024-02-04 18:55:48
24,92,BANK_TRANSFER,"Etiam praetereat omnes voluptates, dolores denique quosvis suscipere malit quam deserere ullam officii partem, ad ea.",0,2024-01-27 12:24:23,2024-02-02 02:46:11
25,4,UPI,"Sic verterem Platonem aut Aristotelem, ut verterunt nostri poetae fabulas, male, credo, mererer de meis civibus, si ad eorum cognitionem divina illa ingenia transferrem.",0,2024-01-27 12:29:38,2024-01-27 23:40:27
27,41,UPI,"Usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae de philosophia litteris.",0,2024-01-27 12:37:07,2024-01-31 16:27:17
29,68,BANK_TRANSFER,"Abest plurimum et, cum stultorum vitam cum sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut non modo quid nobis probaretur, sed etiam effectrices sunt voluptatum tam amicis quam sibi.",0,2024-01-27 12:50:24,2024-02-02 03:24:43
31,7,UPI,"Quis alienum putet eius esse dignitatis, quam mihi quisque tribuat, quid in omni munere.",0,2024-01-27 13:06:21,2024-02-04 16:51:24
32,41,UPI,Atque ad beate vivendum se ipsa esse contentam. Sed possunt haec quadam ratione dici non necesse est. Tribus.,0,2024-01-27 13:12:08,2024-02-05 17:36:03
33,64,UPI,"Prima veniat in medium Epicuri ratio, quae plerisque notissima est. Quam a nobis explicatam esse his litteris arbitramur, in quibus, quantum potuimus, non modo non repugnantibus, verum.",0,2024-01-27 13:17:21,2024-01-30 20:26:17
34,24,CARD,"Mundi, quaeque in eo filio adhibuit, quem in adoptionem D. Silano emancipaverat, ut eum Macedonum.",0,2024-01-27 13:25:34,2024-01-30 02:02:25
35,22,BANK_TRANSFER,"Maxime ab iis, quos modo nominavi, cum.",0,2024-01-27 13:32:43,2024-02-01 21:41:00
36,40,WALLET,"Postremo aliquos futuros suspicor, qui me ad alias litteras vocent.",0,2024-01-27 13:38:27,2024-01-31 04:53:35
37,47,WALLET,"Autem ita frui volunt voluptatibus, ut nulli propter eas consequantur dolores, et qui suum iudicium retinent, ne voluptate victi faciant id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in.",0,2024-01-27 13:42:29,2024-01-29 03:21:40
38,98,CARD,"Melius erimus, cum didicerimus quid natura postulet non.",0,2024-01-27 13:46:07,2024-01-30 00:35:06
40,84,WALLET,"Peccant, cum e quibus haec efficiantur ignorant. Animi autem morbi sunt cupiditates.",0,2024-01-27 13:55:32,2024-01-29 06:49:57
41,81,CARD,"Voluptatibus esse deditum dicitis; non posse reperiri. Quapropter si ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot.",0,2024-01-27 13:59:59,2024-01-28 20:59:00
42,99,CARD,"Alii minuti et angusti aut omnia semper desperantes aut malivoli, invidi, difficiles, lucifugi, maledici, monstruosi, alii autem etiam amaret, cotidieque inter nos de litteris, quarum summum erat in utroque studium, deinde Torquatus: Quoniam nacti te, inquit, sumus aliquando otiosum, certe audiam, quid sit, quod.",0,2024-01-27 14:00:59,2024-01-28 04:44:47
44,44,WALLET,"Quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate aliqua naturam ipsam movet et cum iucunditate quadam.",0,2024-01-27 14:05:26,2024-02-05 15:36:05
46,15,BANK_TRANSFER,"Disserendi locus. Nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae.",0,2024-01-27 14:16:06,2024-01-28 07:23:31
48,85,WALLET,"Quos tu paulo ante collegi, abest plurimum et, cum stultorum vitam cum sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut.",0,2024-01-27 14:20:43,2024-02-04 03:50:32
51,55,CARD,"Dolor sit, amet, consectetur, adipisci velit, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. Temperantia est enim, quod tibi.",0,2024-01-27 14:42:43,2024-02-05 13:36:01
54,28,CARD,"Torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt et, si essent vera, nihil afferrent.",0,2024-01-27 15:03:40,2024-01-28 16:52:15
